      No     Day     Mon    Year  Qobs_0000411  Qsim_0000411
       1       1       1    1980    11.4450000    10.6212037
       2       2       1    1980    11.2510000     9.4575344
       3       3       1    1980    10.5360000     8.6168587
       4       4       1    1980    10.1160000     7.9931628
       5       5       1    1980    13.0790000     8.6605660
       6       6       1    1980    17.8170000    12.8598927
       7       7       1    1980    18.1880000    16.7843145
       8       8       1    1980    16.4790000    14.1790610
       9       9       1    1980    15.1070000    11.9080521
      10      10       1    1980    13.9320000    10.3809962
      11      11       1    1980    12.5990000     9.2948823
      12      12       1    1980    11.4360000     8.5003863
      13      13       1    1980    10.9250000     7.9049426
      14      14       1    1980     9.9170000     7.4488306
      15      15       1    1980     9.5710000     7.0922825
      16      16       1    1980     9.5470000     6.8081243
      17      17       1    1980     8.7510000     6.5773844
      18      18       1    1980     8.5830000     6.3865751
      19      19       1    1980     7.9900000     6.2259573
      20      20       1    1980     7.8230000     6.0884035
      21      21       1    1980     7.7180000     5.9686360
      22      22       1    1980    10.4700000     9.4198583
      23      23       1    1980    12.0120000    24.8033932
      24      24       1    1980    20.5550000    41.2933225
      25      25       1    1980    31.0510000    46.5207010
      26      26       1    1980    19.7060000    31.4443147
      27      27       1    1980    15.8490000    22.4707528
      28      28       1    1980    13.6220000    17.5436910
      29      29       1    1980    12.5720000    14.7190195
      30      30       1    1980    13.7570000    25.2991963
      31      31       1    1980    79.4420000    74.9471488
      32       1       2    1980   150.5710000   110.5726723
      33       2       2    1980    67.9500000    83.9285649
      34       3       2    1980    71.7500000   100.3756489
      35       4       2    1980   168.2670000   144.7908374
      36       5       2    1980   209.8330000   174.8420778
      37       6       2    1980   137.7160000   155.8515698
      38       7       2    1980    82.0160000   107.4815019
      39       8       2    1980    61.7550000    74.7090702
      40       9       2    1980    47.6930000    52.7062327
      41      10       2    1980    40.3400000    40.4495774
      42      11       2    1980    37.0500000    35.6446036
      43      12       2    1980    34.2800000    28.9262615
      44      13       2    1980    31.2150000    23.7463016
      45      14       2    1980    27.9250000    20.1679394
      46      15       2    1980    25.2540000    17.7167701
      47      16       2    1980    22.2950000    16.1095484
      48      17       2    1980    20.0380000    15.5397400
      49      18       2    1980    18.8780000    14.6575181
      50      19       2    1980    17.8170000    13.6237140
      51      20       2    1980    16.7680000    12.8376227
      52      21       2    1980    15.6860000    12.2276913
      53      22       2    1980    14.9200000    11.7494024
      54      23       2    1980    14.4010000    11.3825845
      55      24       2    1980    13.8850000    11.1236754
      56      25       2    1980    14.0020000    10.8880452
      57      26       2    1980    13.6520000    10.6745759
      58      27       2    1980    13.0520000    10.4603122
      59      28       2    1980    12.5900000    10.2638516
      60      29       2    1980    11.9670000    10.0692617
      61       1       3    1980    11.4760000     9.8913198
      62       2       3    1980    11.3600000     9.7413509
      63       3       3    1980    11.0890000     9.6220505
      64       4       3    1980    11.1870000     9.4906525
      65       5       3    1980    10.6420000     9.3605182
      66       6       3    1980    10.3610000    10.8246918
      67       7       3    1980    12.7970000    14.3341441
      68       8       3    1980    12.5840000    14.3818011
      69       9       3    1980    12.6730000    16.4928887
      70      10       3    1980    12.5770000    15.8451181
      71      11       3    1980    11.9370000    14.3099601
      72      12       3    1980    11.4160000    13.0529645
      73      13       3    1980    10.8310000    12.1030968
      74      14       3    1980    10.5360000    11.3566055
      75      15       3    1980     9.9100000    10.7834123
      76      16       3    1980     9.5690000    10.3176075
      77      17       3    1980     9.6350000     9.9440022
      78      18       3    1980     8.9130000     9.6423074
      79      19       3    1980     8.5110000     9.4043121
      80      20       3    1980     8.7970000     9.2019415
      81      21       3    1980     8.8770000     9.0650102
      82      22       3    1980     8.9430000     8.9904825
      83      23       3    1980     8.3260000     8.7880065
      84      24       3    1980     7.8350000     8.6346890
      85      25       3    1980     7.7200000     8.5303489
      86      26       3    1980     8.1760000    10.3244278
      87      27       3    1980    11.7200000    14.8080606
      88      28       3    1980    15.2460000    17.0473795
      89      29       3    1980    14.9100000    17.0542878
      90      30       3    1980    14.2020000    17.2369181
      91      31       3    1980    13.2060000    21.2761353
      92       1       4    1980    36.7950000    39.1987118
      93       2       4    1980    46.0620000    44.3948392
      94       3       4    1980    32.8910000    39.4100218
      95       4       4    1980    30.5110000    40.0543739
      96       5       4    1980    27.7800000    32.7262631
      97       6       4    1980    23.0560000    26.0416144
      98       7       4    1980    20.2830000    21.4223511
      99       8       4    1980    19.1000000    19.1571239
     100       9       4    1980    18.7780000    20.9608157
     101      10       4    1980    19.8680000    20.6887381
     102      11       4    1980    18.0570000    18.4866847
     103      12       4    1980    16.5250000    16.1755512
     104      13       4    1980    14.8500000    14.5867990
     105      14       4    1980    14.1670000    13.3602211
     106      15       4    1980    13.1990000    12.3270949
     107      16       4    1980    12.1780000    11.5233349
     108      17       4    1980    11.4580000    10.9019800
     109      18       4    1980    11.0080000    10.4157808
     110      19       4    1980    11.0000000    10.1188491
     111      20       4    1980    10.7170000    10.3748579
     112      21       4    1980    10.2800000    10.6731934
     113      22       4    1980     9.8710000    10.6095451
     114      23       4    1980     9.6130000    10.5391347
     115      24       4    1980     9.9600000    11.7923096
     116      25       4    1980    11.1370000    12.5555505
     117      26       4    1980    12.7150000    15.9371692
     118      27       4    1980    26.4020000    23.1629118
     119      28       4    1980    20.3400000    20.2380639
     120      29       4    1980    15.4400000    16.8681777
     121      30       4    1980    12.9310000    14.6574837
     122       1       5    1980    11.3910000    13.0646000
     123       2       5    1980    10.8680000    12.1392011
     124       3       5    1980    12.4450000    17.3751447
     125       4       5    1980    24.6830000    24.0184631
     126       5       5    1980    17.2650000    19.1822425
     127       6       5    1980    13.6330000    16.3198036
     128       7       5    1980    12.0470000    14.3359296
     129       8       5    1980    11.3380000    13.7945253
     130       9       5    1980    16.6700000    17.1135453
     131      10       5    1980    18.7950000    17.6039904
     132      11       5    1980    13.4270000    15.1362028
     133      12       5    1980    11.5210000    13.4486896
     134      13       5    1980    10.3460000    12.2289678
     135      14       5    1980     9.6380000    11.3216599
     136      15       5    1980     9.0190000    10.6309988
     137      16       5    1980     8.6790000    10.0940730
     138      17       5    1980     8.1780000     9.6683292
     139      18       5    1980     7.9390000     9.3244806
     140      19       5    1980     7.9760000     9.0419636
     141      20       5    1980     8.0230000     8.8047152
     142      21       5    1980     7.3910000     8.6022858
     143      22       5    1980     7.4870000     8.4270040
     144      23       5    1980     6.9960000     8.2726768
     145      24       5    1980     6.8220000     8.1344663
     146      25       5    1980     6.5660000     8.0092222
     147      26       5    1980     6.3560000     7.8942997
     148      27       5    1980     6.5470000     8.6637545
     149      28       5    1980     8.6390000     9.4733418
     150      29       5    1980     9.0060000     9.6216095
     151      30       5    1980     8.2760000     9.7541975
     152      31       5    1980     7.4210000     9.0473048
     153       1       6    1980     8.2120000    12.0674415
     154       2       6    1980     9.9010000    13.5651858
     155       3       6    1980     8.3900000    10.9443957
     156       4       6    1980     7.1280000    10.1593565
     157       5       6    1980     6.8490000     9.4938603
     158       6       6    1980     6.5850000     8.9948112
     159       7       6    1980     6.8220000     9.0337330
     160       8       6    1980     7.1790000    10.0465272
     161       9       6    1980     7.9610000    11.3256333
     162      10       6    1980    19.8390000    15.6743234
     163      11       6    1980    16.3830000    15.4310976
     164      12       6    1980    10.1160000    12.4092435
     165      13       6    1980     8.0610000    11.0397529
     166      14       6    1980     7.2340000    10.8928335
     167      15       6    1980     8.8820000    11.1637331
     168      16       6    1980     7.6990000    10.2498545
     169      17       6    1980     6.7520000     9.4107955
     170      18       6    1980     6.8910000     9.1257227
     171      19       6    1980     6.6680000     9.6508254
     172      20       6    1980     7.7800000     9.8784798
     173      21       6    1980     6.9460000     8.9266142
     174      22       6    1980     6.3730000     8.4418320
     175      23       6    1980     6.2740000     8.0803253
     176      24       6    1980     6.0850000     7.7616568
     177      25       6    1980     6.1480000     7.6268163
     178      26       6    1980     6.2160000     8.8316871
     179      27       6    1980     7.1480000    11.0516652
     180      28       6    1980    10.3800000    18.5713729
     181      29       6    1980    35.2130000    31.7802001
     182      30       6    1980    21.7840000    22.3745234
     183       1       7    1980    13.5870000    22.9531653
     184       2       7    1980    31.8740000    42.9589409
     185       3       7    1980    57.5640000    57.2388803
     186       4       7    1980    34.8640000    41.3812928
     187       5       7    1980    20.6230000    29.7223416
     188       6       7    1980    15.4550000    22.5488521
     189       7       7    1980    13.4140000    18.6018339
     190       8       7    1980    16.5890000    20.3468028
     191       9       7    1980    20.8390000    24.7326789
     192      10       7    1980    21.9260000    23.9679994
     193      11       7    1980    16.2990000    20.8871683
     194      12       7    1980    13.4740000    17.7995716
     195      13       7    1980    12.3650000    17.5079644
     196      14       7    1980    15.6700000    20.5326883
     197      15       7    1980    19.2980000    22.7609015
     198      16       7    1980    26.7110000    28.6145652
     199      17       7    1980    17.7980000    22.3575128
     200      18       7    1980    14.2540000    18.1458298
     201      19       7    1980    12.3950000    15.4941554
     202      20       7    1980    11.2610000    18.4151491
     203      21       7    1980    23.6220000    29.1549618
     204      22       7    1980    22.9130000    26.3219496
     205      23       7    1980    15.4630000    20.6420779
     206      24       7    1980    12.7460000    17.0679071
     207      25       7    1980    10.7890000    14.7451986
     208      26       7    1980    10.0400000    13.9175739
     209      27       7    1980    14.3350000    15.4831088
     210      28       7    1980    17.7060000    13.4020470
     211      29       7    1980    11.4230000    13.3471698
     212      30       7    1980    16.4800000    15.4339312
     213      31       7    1980    11.8670000    13.1900950
     214       1       8    1980     9.7820000    12.0299220
     215       2       8    1980     8.7560000    11.1601620
     216       3       8    1980     8.0400000    10.4874006
     217       4       8    1980     7.7030000     9.9578203
     218       5       8    1980     7.1930000     9.5339829
     219       6       8    1980     6.8850000     9.1892124
     220       7       8    1980     6.5850000     8.9114553
     221       8       8    1980     6.8760000     8.7365277
     222       9       8    1980     6.9750000     8.5892906
     223      10       8    1980     6.1840000     8.3482805
     224      11       8    1980     5.9700000     8.3991962
     225      12       8    1980     7.3410000     9.9474124
     226      13       8    1980     8.7020000    10.7327342
     227      14       8    1980     6.6800000     8.7338381
     228      15       8    1980     6.3910000    15.1734977
     229      16       8    1980    32.0980000    25.2270550
     230      17       8    1980    17.2560000    17.0843024
     231      18       8    1980    10.7540000    14.4824881
     232      19       8    1980     8.5850000    12.7578509
     233      20       8    1980     8.6710000    11.5971513
     234      21       8    1980     7.2880000    10.6419879
     235      22       8    1980     6.7190000     9.9148713
     236      23       8    1980     6.3080000     9.3536115
     237      24       8    1980     5.8920000     8.9119855
     238      25       8    1980     5.6260000     8.5580984
     239      26       8    1980     5.5900000     8.3119300
     240      27       8    1980     6.1130000     8.8101504
     241      28       8    1980     6.3480000     8.8961722
     242      29       8    1980     6.0330000     8.2844135
     243      30       8    1980     6.3510000     8.9882031
     244      31       8    1980     7.6520000    12.0942407
     245       1       9    1980     9.2230000    15.0786056
     246       2       9    1980     7.5000000    12.0778609
     247       3       9    1980     6.1440000    10.8408474
     248       4       9    1980     5.5190000     9.9476680
     249       5       9    1980     5.5070000    10.3283369
     250       6       9    1980     6.8560000    11.3921925
     251       7       9    1980     5.6430000     9.7164381
     252       8       9    1980     5.2920000     9.5873963
     253       9       9    1980     6.3210000     9.7680944
     254      10       9    1980     5.9190000     9.1865138
     255      11       9    1980     5.6730000     8.8333641
     256      12       9    1980     5.8450000     9.7621784
     257      13       9    1980     6.8380000    10.2250542
     258      14       9    1980     5.8410000     9.1513367
     259      15       9    1980     5.2790000     8.5548292
     260      16       9    1980     4.9760000     8.1037059
     261      17       9    1980     4.9960000     7.7523284
     262      18       9    1980     4.9540000     7.4719135
     263      19       9    1980     4.7750000     7.2431443
     264      20       9    1980     4.7100000     7.0526449
     265      21       9    1980     4.6220000     6.8909274
     266      22       9    1980     4.3540000     6.7584944
     267      23       9    1980     4.8220000     6.7255544
     268      24       9    1980     4.6810000     6.5378504
     269      25       9    1980     4.4620000     6.4351389
     270      26       9    1980     4.4330000     6.3415010
     271      27       9    1980     4.7070000     6.2548828
     272      28       9    1980     4.0390000     6.1739117
     273      29       9    1980     3.9300000     6.0975234
     274      30       9    1980     4.1500000     6.0248873
     275       1      10    1980     4.1850000     5.9553522
     276       2      10    1980     3.9850000     5.8884058
     277       3      10    1980     3.9640000     5.8236547
     278       4      10    1980     4.0050000     5.7607493
     279       5      10    1980     3.7820000     5.6994374
     280       6      10    1980     3.9140000     5.6395185
     281       7      10    1980     4.4550000     9.2371955
     282       8      10    1980     8.4660000    12.0481377
     283       9      10    1980     5.8120000     7.9637748
     284      10      10    1980     4.8360000     8.8084250
     285      11      10    1980     5.0270000    12.8163432
     286      12      10    1980    15.1030000    21.8501230
     287      13      10    1980    22.1410000    26.6321111
     288      14      10    1980    13.3050000    19.6811780
     289      15      10    1980     9.0880000    15.8589053
     290      16      10    1980     7.8080000    14.0150729
     291      17      10    1980     8.5420000    16.4627258
     292      18      10    1980    17.5200000    26.9759605
     293      19      10    1980    25.4910000    31.9449600
     294      20      10    1980    20.9310000    25.6014631
     295      21      10    1980    13.3990000    19.7506151
     296      22      10    1980    10.8030000    15.9878167
     297      23      10    1980     9.7570000    14.4704319
     298      24      10    1980    10.2170000    18.9098551
     299      25      10    1980    16.3920000    24.5403069
     300      26      10    1980    14.1400000    20.7339024
     301      27      10    1980    11.6360000    16.7827353
     302      28      10    1980     9.8410000    14.1394391
     303      29      10    1980     8.6300000    12.2781783
     304      30      10    1980     7.7880000    10.9254472
     305      31      10    1980     7.2450000     9.9183559
     306       1      11    1980     6.7140000     9.1550559
     307       2      11    1980     6.2990000     8.5663747
     308       3      11    1980     6.0860000     8.1046992
     309       4      11    1980     6.6100000     7.7367138
     310       5      11    1980     6.0020000     7.4386957
     311       6      11    1980     5.9040000     7.1934973
     312       7      11    1980     5.6040000     7.0036614
     313       8      11    1980     5.5410000     6.9298682
     314       9      11    1980     5.5820000     6.7957118
     315      10      11    1980     6.0370000     6.6386937
     316      11      11    1980     5.7770000     6.5042145
     317      12      11    1980     5.2130000     6.3853113
     318      13      11    1980     5.1970000     6.2787505
     319      14      11    1980     4.9910000     6.1830419
     320      15      11    1980     5.3680000     8.7411496
     321      16      11    1980     9.2760000    12.3241587
     322      17      11    1980     8.0810000    11.4192749
     323      18      11    1980     8.8160000    13.4207759
     324      19      11    1980    10.3680000    14.4807867
     325      20      11    1980     8.6930000    11.8020395
     326      21      11    1980     7.4500000    10.3484211
     327      22      11    1980     6.6020000     9.3064477
     328      23      11    1980     6.1880000     8.5312594
     329      24      11    1980     5.9980000     7.9418685
     330      25      11    1980     5.6900000     7.5492532
     331      26      11    1980     6.2080000     8.8145183
     332      27      11    1980     6.9330000    11.0071627
     333      28      11    1980     6.8620000     9.2155238
     334      29      11    1980     6.3510000     8.4375238
     335      30      11    1980     5.7670000     7.8485704
     336       1      12    1980     5.4710000     7.3919915
     337       2      12    1980     4.9960000     7.0317065
     338       3      12    1980     5.3540000     6.7425331
     339       4      12    1980     5.5740000     6.5065542
     340       5      12    1980     5.6690000     6.3108152
     341       6      12    1980     8.1630000     6.1458204
     342       7      12    1980     9.2830000     6.0045267
     343       8      12    1980     6.9310000     5.8816559
     344       9      12    1980     6.4010000     5.7732166
     345      10      12    1980     6.6720000     5.6761657
     346      11      12    1980     6.7600000     5.6990866
     347      12      12    1980     6.4730000     5.7818635
     348      13      12    1980     6.1120000    10.5977945
     349      14      12    1980    19.5430000    31.3306877
     350      15      12    1980   127.3180000    61.4701758
     351      16      12    1980    66.6510000    74.9267440
     352      17      12    1980    30.9880000    52.3920836
     353      18      12    1980    22.5870000    35.3493093
     354      19      12    1980    18.6460000    25.6132317
     355      20      12    1980    16.3620000    20.1951070
     356      21      12    1980    16.1550000    19.3304247
     357      22      12    1980    15.1580000    22.1774482
     358      23      12    1980    16.1430000    22.0314748
     359      24      12    1980    30.2020000    31.0961691
     360      25      12    1980    29.3380000    36.5357109
     361      26      12    1980    30.4440000    41.0340159
     362      27      12    1980    25.0750000    31.5503588
     363      28      12    1980    19.1140000    23.5784396
     364      29      12    1980    16.2750000    18.8894108
     365      30      12    1980    14.5490000    15.9079553
     366      31      12    1980    13.4630000    14.3590629
     367       1       1    1981    13.3720000    15.9225264
     368       2       1    1981    12.9800000    22.2318112
     369       3       1    1981    49.8000000    49.6636476
     370       4       1    1981   109.1350000    82.6570683
     371       5       1    1981    43.6800000    56.4530052
     372       6       1    1981    30.8550000    38.4474621
     373       7       1    1981    24.8820000    28.1756429
     374       8       1    1981    20.9230000    22.0927012
     375       9       1    1981    18.9090000    18.3781181
     376      10       1    1981    18.0230000    15.8735179
     377      11       1    1981    16.4030000    14.0722524
     378      12       1    1981    15.4900000    12.7430009
     379      13       1    1981    14.4030000    11.7422672
     380      14       1    1981    14.8350000    10.9748551
     381      15       1    1981    18.7660000    10.3760090
     382      16       1    1981    17.0130000     9.9007448
     383      17       1    1981    17.5050000    13.8230995
     384      18       1    1981    22.4230000    22.0054517
     385      19       1    1981    21.8370000    21.5982430
     386      20       1    1981    27.5070000    28.9624023
