      No     Day     Mon    Year  Qobs_0000000398  Qsim_0000000398
       1       1       1    1990      157.0000000      124.1007398
       2       2       1    1990      129.0000000      112.7839981
       3       3       1    1990      117.0000000      103.0383443
       4       4       1    1990      111.0000000       94.6013507
       5       5       1    1990      112.0000000       87.2614311
       6       6       1    1990       93.0000000       80.8466829
       7       7       1    1990       87.0000000       75.2164502
       8       8       1    1990       84.0000000       70.2561426
       9       9       1    1990       80.0000000       65.8724230
      10      10       1    1990       78.0000000       61.9757266
      11      11       1    1990       78.0000000       58.5046204
      12      12       1    1990       77.0000000       55.4026218
      13      13       1    1990       76.0000000       52.6733302
      14      14       1    1990       73.0000000       53.7106231
      15      15       1    1990       66.0000000       65.3985850
      16      16       1    1990       76.0000000       63.3713921
      17      17       1    1990       73.0000000       62.3061182
      18      18       1    1990       71.0000000       63.9124129
      19      19       1    1990       90.0000000       59.8977861
      20      20       1    1990       82.0000000       68.4329190
      21      21       1    1990       80.0000000       67.8270657
      22      22       1    1990       81.0000000       62.3231722
      23      23       1    1990       97.0000000      165.5596749
      24      24       1    1990      198.0000000      218.7188768
      25      25       1    1990      392.0000000      288.4739287
      26      26       1    1990      519.0000000      304.1676143
      27      27       1    1990      565.0000000      242.6530476
      28      28       1    1990      331.0000000      212.6314336
      29      29       1    1990      293.0000000      194.3338209
      30      30       1    1990      302.0000000      166.6699500
      31      31       1    1990      233.0000000      148.7171301
      32       1       2    1990      198.0000000      156.8602877
      33       2       2    1990      183.0000000      172.1402235
      34       3       2    1990      206.0000000      167.1852144
      35       4       2    1990      215.0000000      145.6068593
      36       5       2    1990      183.0000000      130.8734607
      37       6       2    1990      159.0000000      118.7879517
      38       7       2    1990      167.0000000      108.4241418
      39       8       2    1990      138.0000000      100.6953921
      40       9       2    1990      126.0000000       94.9577148
      41      10       2    1990      131.0000000      171.5961358
      42      11       2    1990      173.0000000      224.2488753
      43      12       2    1990      240.0000000      257.2879500
      44      13       2    1990      270.0000000      406.5671132
      45      14       2    1990      458.0000000      873.8814011
      46      15       2    1990      996.0000000     1283.5117777
      47      16       2    1990     1370.0000000     1081.7626445
      48      17       2    1990     1540.0000000      818.7349413
      49      18       2    1990     1210.0000000      621.3471827
      50      19       2    1990      616.0000000      468.0816814
      51      20       2    1990      465.0000000      361.1925198
      52      21       2    1990      373.0000000      289.2436542
      53      22       2    1990      298.0000000      238.9021669
      54      23       2    1990      270.0000000      202.0925676
      55      24       2    1990      234.0000000      174.1998559
      56      25       2    1990      218.0000000      160.1703048
      57      26       2    1990      203.0000000      270.7458928
      58      27       2    1990      314.0000000      489.1525560
      59      28       2    1990      520.0000000      747.8679418
      60       1       3    1990      689.0000000      830.9137959
      61       2       3    1990      777.0000000      665.7359104
      62       3       3    1990      584.0000000      504.6098309
      63       4       3    1990      429.0000000      381.3214096
      64       5       3    1990      365.0000000      300.8497423
      65       6       3    1990      281.0000000      249.4683125
      66       7       3    1990      257.0000000      212.0389458
      67       8       3    1990      231.0000000      184.9000250
      68       9       3    1990      211.0000000      166.5658213
      69      10       3    1990      191.0000000      151.5301753
      70      11       3    1990      182.0000000      138.6534116
      71      12       3    1990      173.0000000      127.5527381
      72      13       3    1990      159.0000000      118.1980068
      73      14       3    1990      153.0000000      110.6850929
      74      15       3    1990      141.0000000      103.6432133
      75      16       3    1990      136.0000000       97.0536245
      76      17       3    1990      130.0000000       91.2215045
      77      18       3    1990      123.0000000       86.0567124
      78      19       3    1990      115.0000000       81.4655133
      79      20       3    1990      113.0000000       77.8501115
      80      21       3    1990      102.0000000       74.6602692
      81      22       3    1990      105.0000000       71.9247385
      82      23       3    1990      106.0000000       69.2489629
      83      24       3    1990       87.0000000       66.6968668
      84      25       3    1990       80.0000000       66.4307029
      85      26       3    1990       84.0000000       64.0178353
      86      27       3    1990       82.0000000       63.7868032
      87      28       3    1990       91.0000000       79.6463179
      88      29       3    1990       97.0000000       82.4699570
      89      30       3    1990      110.0000000       75.5932603
      90      31       3    1990       97.0000000       70.8800027
      91       1       4    1990       93.0000000       67.6601159
      92       2       4    1990       85.0000000       64.8152803
      93       3       4    1990       84.0000000       70.8151811
      94       4       4    1990       81.0000000       75.3009179
      95       5       4    1990       81.0000000       67.7271667
      96       6       4    1990       76.0000000       65.3162636
      97       7       4    1990       72.0000000       62.7380824
      98       8       4    1990       68.0000000       60.3124059
      99       9       4    1990       72.0000000       58.1262126
     100      10       4    1990       65.0000000       56.1708988
     101      11       4    1990       62.0000000       54.8847440
     102      12       4    1990       62.0000000       55.3076575
     103      13       4    1990       65.0000000       60.6305847
     104      14       4    1990       68.0000000       96.0082609
     105      15       4    1990       75.0000000      102.1768944
     106      16       4    1990       90.0000000      106.8015226
     107      17       4    1990       92.0000000      104.7039788
     108      18       4    1990       94.0000000      100.5463409
     109      19       4    1990      110.0000000       94.4723020
     110      20       4    1990       99.0000000       88.1453117
     111      21       4    1990       86.0000000       83.2903212
     112      22       4    1990       86.0000000       87.5466142
     113      23       4    1990       86.0000000       95.6166690
     114      24       4    1990       88.0000000       93.2291217
     115      25       4    1990       93.0000000       85.3880172
     116      26       4    1990       99.0000000       80.3814825
     117      27       4    1990       86.0000000       77.3630751
     118      28       4    1990       74.0000000       74.8470903
     119      29       4    1990       72.0000000       70.4516987
     120      30       4    1990       77.0000000       67.1183666
     121       1       5    1990       56.0000000       64.1248180
     122       2       5    1990       64.0000000       61.4276706
     123       3       5    1990       58.0000000       58.9900375
     124       4       5    1990       50.0000000       56.7804096
     125       5       5    1990       50.0000000       54.7717541
     126       6       5    1990       50.0000000       52.9407842
     127       7       5    1990       50.0000000       51.2751702
     128       8       5    1990       53.0000000       50.3168439
     129       9       5    1990       62.0000000       49.1898063
     130      10       5    1990       64.0000000       52.9164496
     131      11       5    1990       65.0000000       53.3615599
     132      12       5    1990       75.0000000       48.3882776
     133      13       5    1990       71.0000000       47.0599750
     134      14       5    1990       63.0000000       46.2802709
     135      15       5    1990       61.0000000       45.0766801
     136      16       5    1990       49.0000000       44.0957497
     137      17       5    1990       46.0000000       43.0839442
     138      18       5    1990       46.0000000       42.1145034
     139      19       5    1990       48.0000000       41.2149518
     140      20       5    1990       41.0000000       40.4292132
     141      21       5    1990       45.0000000       45.6704172
     142      22       5    1990       52.0000000       45.8882558
     143      23       5    1990       50.0000000       44.2929493
     144      24       5    1990       56.0000000       45.8198170
     145      25       5    1990       41.0000000       43.5814299
     146      26       5    1990       40.0000000       41.1923922
     147      27       5    1990       39.0000000       40.2217306
     148      28       5    1990       39.0000000       39.3278914
     149      29       5    1990       33.0000000       38.5022517
     150      30       5    1990       37.0000000       37.7373316
     151      31       5    1990       30.0000000       37.0266187
     152       1       6    1990       37.0000000       42.8316939
     153       2       6    1990       36.0000000       43.3017476
     154       3       6    1990       40.0000000       70.0158278
     155       4       6    1990       45.0000000       57.2302713
     156       5       6    1990       39.0000000       44.8122674
     157       6       6    1990       48.0000000       43.3716590
     158       7       6    1990       39.0000000       83.2813762
     159       8       6    1990       49.0000000       92.1052681
     160       9       6    1990       84.0000000       79.5048199
     161      10       6    1990       91.0000000       70.2458477
     162      11       6    1990       80.0000000       63.1951907
     163      12       6    1990       66.0000000       59.6905682
