      No     Day     Mon    Year  Qobs_0000000398  Qsim_0000000398  Qobs_0000000333  Qsim_0000000333
       1       1       1    1990      157.0000000     1325.2725253     1210.0000000     1298.0369642
       2       2       1    1990      129.0000000     1225.4429174     1120.0000000     1200.7475355
       3       3       1    1990      117.0000000     1164.6015547     1070.0000000     1144.8770332
       4       4       1    1990      111.0000000     1117.8977043     1030.0000000     1100.1210763
       5       5       1    1990      112.0000000     1082.8882440     1000.0000000     1067.0862370
       6       6       1    1990       93.0000000     1064.5714318      985.0000000     1050.6438651
       7       7       1    1990       87.0000000     1024.7573305      946.0000000     1009.0894289
       8       8       1    1990       84.0000000      996.2755423      922.0000000      982.4433881
       9       9       1    1990       80.0000000      967.7849126      896.0000000      954.1625280
      10      10       1    1990       78.0000000      959.5034621      892.0000000      948.2431355
      11      11       1    1990       78.0000000      950.8633857      885.0000000      939.6123058
      12      12       1    1990       77.0000000      951.2937883      888.0000000      941.2122803
      13      13       1    1990       76.0000000      945.2262766      882.0000000      933.9972355
      14      14       1    1990       73.0000000      909.8925347      840.0000000      891.0087567
      15      15       1    1990       66.0000000      915.5042501      837.0000000      896.3234013
      16      16       1    1990       76.0000000      905.1263922      824.0000000      886.3008453
      17      17       1    1990       73.0000000      909.3513027      818.0000000      894.4877215
      18      18       1    1990       71.0000000      924.8154002      829.0000000      909.9581380
      19      19       1    1990       90.0000000      939.8561635      851.0000000      924.6716970
      20      20       1    1990       82.0000000      922.6267132      830.0000000      900.8254645
      21      21       1    1990       80.0000000      915.9387322      833.0000000      899.2815304
      22      22       1    1990       81.0000000      903.6966590      826.0000000      887.8373304
      23      23       1    1990       97.0000000     1001.3857140      797.0000000      920.5976962
      24      24       1    1990      198.0000000     1035.4011515      807.0000000      955.5172022
      25      25       1    1990      392.0000000     1269.5896821      949.0000000     1170.8244081
      26      26       1    1990      519.0000000     1479.3909469     1170.0000000     1393.8123428
      27      27       1    1990      565.0000000     1588.3250047     1330.0000000     1519.9178716
      28      28       1    1990      331.0000000     1727.1979040     1480.0000000     1679.6233893
      29      29       1    1990      293.0000000     1706.6637947     1450.0000000     1647.3276171
      30      30       1    1990      302.0000000     1509.9870553     1280.0000000     1447.3838552
      31      31       1    1990      233.0000000     1383.0273820     1190.0000000     1334.9767115
      32       1       2    1990      198.0000000     1322.7979834     1120.0000000     1272.3900915
      33       2       2    1990      183.0000000     1282.5535810     1060.0000000     1238.1227654
      34       3       2    1990      206.0000000     1248.6096037     1030.0000000     1203.6404276
      35       4       2    1990      215.0000000     1196.2605860     1010.0000000     1159.1234784
      36       5       2    1990      183.0000000     1180.6089208     1020.0000000     1150.6987289
      37       6       2    1990      159.0000000     1129.1366753      982.0000000     1098.1392992
      38       7       2    1990      167.0000000     1094.2258491      963.0000000     1067.5759219
      39       8       2    1990      138.0000000     1052.3024725      927.0000000     1027.3888603
      40       9       2    1990      126.0000000     1037.7865695      916.0000000     1014.9465850
      41      10       2    1990      131.0000000     1122.2134682      888.0000000     1066.7302566
      42      11       2    1990      173.0000000     1183.5588147      910.0000000     1114.9105816
      43      12       2    1990      240.0000000     1310.1510676      985.0000000     1249.6814150
      44      13       2    1990      270.0000000     1612.8061065     1080.0000000     1547.7419802
      45      14       2    1990      458.0000000     2260.8598339     1230.0000000     2113.5254332
      46      15       2    1990      996.0000000     2920.7662876     1750.0000000     2744.7292159
      47      16       2    1990     1370.0000000     4408.8977647     3620.0000000     4408.4764704
      48      17       2    1990     1540.0000000     5430.3822206     4830.0000000     5419.0506937
      49      18       2    1990     1210.0000000     5642.8671946     5130.0000000     5577.6521925
      50      19       2    1990      616.0000000     5254.1560802     4800.0000000     5149.6544453
      51      20       2    1990      465.0000000     4587.1868185     4180.0000000     4469.3579187
      52      21       2    1990      373.0000000     3862.6275206     3500.0000000     3748.0340567
      53      22       2    1990      298.0000000     3271.0519687     2960.0000000     3175.9688388
      54      23       2    1990      270.0000000     2855.2792368     2590.0000000     2780.9116634
      55      24       2    1990      234.0000000     2570.6144660     2340.0000000     2511.2015922
      56      25       2    1990      218.0000000     2396.5850894     2190.0000000     2345.6257499
      57      26       2    1990      203.0000000     2386.5478066     2020.0000000     2286.6729127
      58      27       2    1990      314.0000000     2662.4113751     2100.0000000     2562.0255685
      59      28       2    1990      520.0000000     3443.9287640     2700.0000000     3351.6949925
      60       1       3    1990      689.0000000     4001.5051520     3240.0000000     3879.0363687
      61       2       3    1990      777.0000000     4353.4250493     3760.0000000     4261.9145496
      62       3       3    1990      584.0000000     4408.4499159     3930.0000000     4321.0826465
      63       4       3    1990      429.0000000     4235.1172288     3820.0000000     4143.8413138
      64       5       3    1990      365.0000000     3879.2411909     3500.0000000     3781.3800317
      65       6       3    1990      281.0000000     3396.5536328     3050.0000000     3296.1315198
      66       7       3    1990      257.0000000     3002.4119695     2700.0000000     2918.3861138
      67       8       3    1990      231.0000000     2706.9001466     2440.0000000     2636.6401364
      68       9       3    1990      211.0000000     2489.0621925     2250.0000000     2429.4697992
      69      10       3    1990      191.0000000     2309.3567588     2090.0000000     2255.8143289
      70      11       3    1990      182.0000000     2181.2285787     1980.0000000     2134.8824565
      71      12       3    1990      173.0000000     2042.1702356     1850.0000000     1996.0398108
      72      13       3    1990      159.0000000     1921.7984482     1740.0000000     1879.2308125
      73      14       3    1990      153.0000000     1846.0867687     1670.0000000     1809.4413571
      74      15       3    1990      141.0000000     1766.5725883     1590.0000000     1729.1029220
      75      16       3    1990      136.0000000     1715.7115002     1550.0000000     1682.7698635
      76      17       3    1990      130.0000000     1696.9703874     1540.0000000     1667.6207809
      77      18       3    1990      123.0000000     1645.6389666     1490.0000000     1613.3081788
      78      19       3    1990      115.0000000     1573.2221275     1420.0000000     1539.6597858
      79      20       3    1990      113.0000000     1526.8748877     1380.0000000     1496.5491732
      80      21       3    1990      102.0000000     1529.3031562     1390.0000000     1503.9949457
      81      22       3    1990      105.0000000     1482.7972910     1340.0000000     1452.3533834
      82      23       3    1990      106.0000000     1440.5780561     1300.0000000     1411.2110988
      83      24       3    1990       87.0000000     1445.0329320     1310.0000000     1421.0001455
      84      25       3    1990       80.0000000     1455.9833619     1320.0000000     1432.0304652
      85      26       3    1990       84.0000000     1472.0788019     1340.0000000     1449.2291371
