      No     Day     Mon    Year  Qobs_0000000398  Qsim_0000000398
       1       1       1    1990      157.0000000      217.4937273
       2       2       1    1990      129.0000000      252.7343500
       3       3       1    1990      117.0000000      205.8183799
       4       4       1    1990      111.0000000      176.1158408
       5       5       1    1990      112.0000000      157.0282679
       6       6       1    1990       93.0000000      154.1969935
       7       7       1    1990       87.0000000      137.3267323
       8       8       1    1990       84.0000000      132.6794149
       9       9       1    1990       80.0000000      134.4839184
      10      10       1    1990       78.0000000      119.1192709
      11      11       1    1990       78.0000000      109.0259933
      12      12       1    1990       77.0000000      104.3899259
      13      13       1    1990       76.0000000      102.7940393
      14      14       1    1990       73.0000000      102.6269124
      15      15       1    1990       66.0000000      114.7008159
      16      16       1    1990       76.0000000      107.2144255
      17      17       1    1990       73.0000000      102.6606934
      18      18       1    1990       71.0000000       95.7148673
      19      19       1    1990       90.0000000       91.5964409
      20      20       1    1990       82.0000000       92.5054873
      21      21       1    1990       80.0000000       88.2409688
      22      22       1    1990       81.0000000       84.8140216
      23      23       1    1990       97.0000000      159.3141852
      24      24       1    1990      198.0000000      132.4950269
      25      25       1    1990      392.0000000      160.2854355
      26      26       1    1990      519.0000000      129.0954901
      27      27       1    1990      565.0000000      106.0663368
      28      28       1    1990      331.0000000      108.0324800
      29      29       1    1990      293.0000000      104.6450417
      30      30       1    1990      302.0000000       92.5961919
      31      31       1    1990      233.0000000       89.1488837
      32       1       2    1990      198.0000000      104.9485546
      33       2       2    1990      183.0000000      109.2853005
      34       3       2    1990      206.0000000      101.5948266
      35       4       2    1990      215.0000000       89.0932228
      36       5       2    1990      183.0000000       85.4818687
      37       6       2    1990      159.0000000       82.6297062
      38       7       2    1990      167.0000000       80.1735675
      39       8       2    1990      138.0000000       79.4297198
      40       9       2    1990      126.0000000       79.6220468
      41      10       2    1990      131.0000000      142.8879858
      42      11       2    1990      173.0000000      144.4650662
      43      12       2    1990      240.0000000      153.2707147
      44      13       2    1990      270.0000000      227.8999990
      45      14       2    1990      458.0000000      426.6761379
      46      15       2    1990      996.0000000      547.9830965
      47      16       2    1990     1370.0000000      443.4020271
      48      17       2    1990     1540.0000000      335.7312270
      49      18       2    1990     1210.0000000      266.7023348
      50      19       2    1990      616.0000000      221.3476031
      51      20       2    1990      465.0000000      191.9388420
      52      21       2    1990      373.0000000      170.3164714
      53      22       2    1990      298.0000000      153.6214376
      54      23       2    1990      270.0000000      140.3653108
      55      24       2    1990      234.0000000      129.6033166
      56      25       2    1990      218.0000000      125.5742674
      57      26       2    1990      203.0000000      224.5515820
      58      27       2    1990      314.0000000      364.4074745
      59      28       2    1990      520.0000000      532.9286758
      60       1       3    1990      689.0000000      605.6706277
      61       2       3    1990      777.0000000      476.8818775
