      No     Day     Mon    Year  Qobs_0000000398  Qsim_0000000398
       1       1       1    1990      157.0000000       27.2026197
       2       2       1    1990      129.0000000      104.7575685
       3       3       1    1990      117.0000000      166.5331556
       4       4       1    1990      111.0000000      184.7495740
       5       5       1    1990      112.0000000      182.0371204
       6       6       1    1990       93.0000000      176.8933870
       7       7       1    1990       87.0000000      172.4266752
       8       8       1    1990       84.0000000      166.1170780
       9       9       1    1990       80.0000000      163.3396961
      10      10       1    1990       78.0000000      161.6652199
      11      11       1    1990       78.0000000      154.3778620
      12      12       1    1990       77.0000000      145.9799404
      13      13       1    1990       76.0000000      142.1581659
      14      14       1    1990       73.0000000      141.8966218
      15      15       1    1990       66.0000000      141.9883486
      16      16       1    1990       76.0000000      144.3189833
      17      17       1    1990       73.0000000      142.2673517
      18      18       1    1990       71.0000000      138.4172049
      19      19       1    1990       90.0000000      134.3475162
      20      20       1    1990       82.0000000      128.6662994
      21      21       1    1990       80.0000000      123.1772291
      22      22       1    1990       81.0000000      117.9305041
      23      23       1    1990       97.0000000      140.0917463
      24      24       1    1990      198.0000000      159.7304751
      25      25       1    1990      392.0000000      161.0093400
      26      26       1    1990      519.0000000      159.8511413
      27      27       1    1990      565.0000000      142.8860316
      28      28       1    1990      331.0000000      127.5256984
      29      29       1    1990      293.0000000      120.1973154
      30      30       1    1990      302.0000000      117.9523270
      31      31       1    1990      233.0000000      112.5287621
      32       1       2    1990      198.0000000      111.6292543
      33       2       2    1990      183.0000000      115.6236449
      34       3       2    1990      206.0000000      117.0315305
      35       4       2    1990      215.0000000      113.3697830
      36       5       2    1990      183.0000000      105.5531087
      37       6       2    1990      159.0000000       99.8921650
      38       7       2    1990      167.0000000       96.6942218
      39       8       2    1990      138.0000000       94.5780257
      40       9       2    1990      126.0000000       93.6986138
      41      10       2    1990      131.0000000      109.4377743
      42      11       2    1990      173.0000000      132.4875283
      43      12       2    1990      240.0000000      134.8723608
      44      13       2    1990      270.0000000      143.1576726
      45      14       2    1990      458.0000000      190.6699560
      46      15       2    1990      996.0000000      245.3716095
      47      16       2    1990     1370.0000000      251.7526334
      48      17       2    1990     1540.0000000      229.9740838
      49      18       2    1990     1210.0000000      203.3208700
      50      19       2    1990      616.0000000      182.5042858
      51      20       2    1990      465.0000000      167.1446101
      52      21       2    1990      373.0000000      155.6430007
      53      22       2    1990      298.0000000      146.7158540
      54      23       2    1990      270.0000000      139.3069552
      55      24       2    1990      234.0000000      132.8259007
      56      25       2    1990      218.0000000      129.2557455
      57      26       2    1990      203.0000000      148.8213349
      58      27       2    1990      314.0000000      183.7853524
      59      28       2    1990      520.0000000      227.2630712
      60       1       3    1990      689.0000000      278.0532897
      61       2       3    1990      777.0000000      305.4106761
      62       3       3    1990      584.0000000      297.7951808
      63       4       3    1990      429.0000000      270.4277627
      64       5       3    1990      365.0000000      239.5203890
      65       6       3    1990      281.0000000      213.0143769
      66       7       3    1990      257.0000000      192.3395195
      67       8       3    1990      231.0000000      175.9021435
      68       9       3    1990      211.0000000      162.5560822
      69      10       3    1990      191.0000000      152.2244884
      70      11       3    1990      182.0000000      144.1974726
      71      12       3    1990      173.0000000      137.5078927
      72      13       3    1990      159.0000000      131.6144742
      73      14       3    1990      153.0000000      126.3871146
      74      15       3    1990      141.0000000      122.0380995
      75      16       3    1990      136.0000000      118.6184255
      76      17       3    1990      130.0000000      114.8741138
      77      18       3    1990      123.0000000      110.9491747
      78      19       3    1990      115.0000000      107.3316512
      79      20       3    1990      113.0000000      104.1250801
      80      21       3    1990      102.0000000      101.2714875
      81      22       3    1990      105.0000000       98.8553424
      82      23       3    1990      106.0000000       96.4499549
      83      24       3    1990       87.0000000       94.0552674
      84      25       3    1990       80.0000000       91.8460794
      85      26       3    1990       84.0000000       89.9313427
      86      27       3    1990       82.0000000       88.0464546
      87      28       3    1990       91.0000000       86.9043534
      88      29       3    1990       97.0000000       90.4751578
      89      30       3    1990      110.0000000       92.4624514
      90      31       3    1990       97.0000000       90.3373533
      91       1       4    1990       93.0000000       86.9934847
      92       2       4    1990       85.0000000       84.1985691
      93       3       4    1990       84.0000000       83.3213508
      94       4       4    1990       81.0000000       84.5530216
      95       5       4    1990       81.0000000       84.4494604
      96       6       4    1990       76.0000000       82.1813271
      97       7       4    1990       72.0000000       79.8756860
      98       8       4    1990       68.0000000       78.1314290
      99       9       4    1990       72.0000000       76.3913290
     100      10       4    1990       65.0000000       74.6736457
     101      11       4    1990       62.0000000       73.0932411
     102      12       4    1990       62.0000000       71.8502637
     103      13       4    1990       65.0000000       72.3942060
     104      14       4    1990       68.0000000       79.9812327
     105      15       4    1990       75.0000000       89.8102555
     106      16       4    1990       90.0000000       89.9969694
     107      17       4    1990       92.0000000       87.7153891
     108      18       4    1990       94.0000000       84.9338321
     109      19       4    1990      110.0000000       84.1372247
     110      20       4    1990       99.0000000       82.4484701
     111      21       4    1990       86.0000000       79.7519428
     112      22       4    1990       86.0000000       80.0797814
     113      23       4    1990       86.0000000       81.1590869
     114      24       4    1990       88.0000000       81.8962884
     115      25       4    1990       93.0000000       82.5748621
     116      26       4    1990       99.0000000       80.6013063
     117      27       4    1990       86.0000000       77.5678343
     118      28       4    1990       74.0000000       75.0230365
     119      29       4    1990       72.0000000       73.1103623
     120      30       4    1990       77.0000000       71.3630891
     121       1       5    1990       56.0000000       69.6231669
     122       2       5    1990       64.0000000       67.9547832
     123       3       5    1990       58.0000000       66.3774146
     124       4       5    1990       50.0000000       64.8846348
     125       5       5    1990       50.0000000       63.4684238
     126       6       5    1990       50.0000000       62.1219178
     127       7       5    1990       50.0000000       60.8396954
     128       8       5    1990       53.0000000       59.6412252
     129       9       5    1990       62.0000000       58.7866961
     130      10       5    1990       64.0000000       60.5985370
     131      11       5    1990       65.0000000       62.3688238
     132      12       5    1990       75.0000000       61.1091355
     133      13       5    1990       71.0000000       58.8057924
     134      14       5    1990       63.0000000       56.6598323
     135      15       5    1990       61.0000000       55.1085182
     136      16       5    1990       49.0000000       54.1338619
     137      17       5    1990       46.0000000       53.2819697
     138      18       5    1990       46.0000000       52.2344899
     139      19       5    1990       48.0000000       51.2134385
     140      20       5    1990       41.0000000       50.2782112
     141      21       5    1990       45.0000000       49.8741545
     142      22       5    1990       52.0000000       52.9250540
     143      23       5    1990       50.0000000       54.1217884
     144      24       5    1990       56.0000000       55.2450318
     145      25       5    1990       41.0000000       54.4706399
     146      26       5    1990       40.0000000       53.8094793
     147      27       5    1990       39.0000000       51.2960913
     148      28       5    1990       39.0000000       48.7432778
     149      29       5    1990       33.0000000       47.2871945
     150      30       5    1990       37.0000000       46.2929621
     151      31       5    1990       30.0000000       45.4211445
     152       1       6    1990       37.0000000       47.6864096
     153       2       6    1990       36.0000000       48.0798372
     154       3       6    1990       40.0000000       58.1306768
     155       4       6    1990       45.0000000       67.4714752
     156       5       6    1990       39.0000000       59.8067504
     157       6       6    1990       48.0000000       51.5319626
     158       7       6    1990       39.0000000       57.9633784
     159       8       6    1990       49.0000000       77.4773181
     160       9       6    1990       84.0000000       87.6392915
     161      10       6    1990       91.0000000       80.9120466
     162      11       6    1990       80.0000000       70.8977217
     163      12       6    1990       66.0000000       64.3387963
     164      13       6    1990       53.0000000       60.1093735
     165      14       6    1990       64.0000000       57.4998395
     166      15       6    1990       55.0000000       55.5738413
     167      16       6    1990       54.0000000       53.7980158
     168      17       6    1990       42.0000000       52.1496917
     169      18       6    1990       48.0000000       50.6431332
     170      19       6    1990       48.0000000       52.6209940
     171      20       6    1990       60.0000000       61.7304318
     172      21       6    1990       75.0000000       71.9278722
     173      22       6    1990       78.0000000       71.4692858
     174      23       6    1990       66.0000000       66.4616403
     175      24       6    1990       63.0000000       61.1142337
     176      25       6    1990       52.0000000       56.9601733
     177      26       6    1990       49.0000000       54.5301635
     178      27       6    1990       44.0000000       56.0753815
     179      28       6    1990       51.0000000       57.1303048
     180      29       6    1990       61.0000000       62.4058010
     181      30       6    1990       81.0000000       81.9955327
     182       1       7    1990       79.0000000       92.4179260
     183       2       7    1990       92.0000000       81.7917405
     184       3       7    1990       72.0000000       71.6244399
     185       4       7    1990       58.0000000       71.7168437
     186       5       7    1990       69.0000000       90.7201612
     187       6       7    1990       94.0000000      102.7625859
     188       7       7    1990      199.0000000      101.4661799
     189       8       7    1990      133.0000000       98.9802180
     190       9       7    1990      124.0000000       93.8682821
     191      10       7    1990      123.0000000       88.0602462
     192      11       7    1990       99.0000000       82.3047879
     193      12       7    1990       88.0000000       77.6405542
     194      13       7    1990       84.0000000       73.8768925
     195      14       7    1990       72.0000000       70.6617163
     196      15       7    1990       55.0000000       67.7880273
     197      16       7    1990       65.0000000       65.1715927
     198      17       7    1990       50.0000000       62.7741005
     199      18       7    1990       50.0000000       60.5695423
     200      19       7    1990       46.0000000       58.5363537
     201      20       7    1990       44.0000000       56.6558491
     202      21       7    1990       42.0000000       54.9117045
     203      22       7    1990       37.0000000       53.2896176
     204      23       7    1990       38.0000000       51.7770293
     205      24       7    1990       44.0000000       50.3628884
     206      25       7    1990       30.0000000       49.0374503
     207      26       7    1990       26.0000000       47.7921058
     208      27       7    1990       31.0000000       46.6192340
     209      28       7    1990       33.0000000       47.2741337
     210      29       7    1990       42.0000000       46.5846287
     211      30       7    1990       36.0000000       44.1996272
     212      31       7    1990       34.0000000       42.9155377
     213       1       8    1990       25.0000000       41.9486092
     214       2       8    1990       22.0000000       41.0645787
     215       3       8    1990       28.0000000       40.2252774
     216       4       8    1990       25.0000000       39.4233445
     217       5       8    1990       19.0000000       38.6554480
     218       6       8    1990       22.0000000       37.9189743
     219       7       8    1990       19.0000000       37.2116903
     220       8       8    1990       22.0000000       36.5313221
     221       9       8    1990       19.0000000       35.8757079
     222      10       8    1990       20.0000000       35.2431117
     223      11       8    1990       19.0000000       34.6320309
     224      12       8    1990       19.0000000       34.0410572
     225      13       8    1990       22.0000000       34.7775386
     226      14       8    1990       36.0000000       41.2602669
     227      15       8    1990       31.0000000       50.5568389
     228      16       8    1990       30.0000000       51.3732110
     229      17       8    1990       28.0000000       45.4968530
     230      18       8    1990       34.0000000       39.5284943
     231      19       8    1990       21.0000000       35.6821110
     232      20       8    1990       30.0000000       33.5745431
     233      21       8    1990       22.0000000       32.5246318
     234      22       8    1990       21.0000000       31.8206528
     235      23       8    1990       23.0000000       31.2045132
     236      24       8    1990       20.0000000       30.6220656
     237      25       8    1990       29.0000000       30.0642843
     238      26       8    1990       20.0000000       29.5320900
     239      27       8    1990       22.0000000       29.1586603
     240      28       8    1990       23.0000000       29.2839983
     241      29       8    1990       35.0000000       29.3530407
     242      30       8    1990       51.0000000       50.6319174
     243      31       8    1990       80.0000000       95.8164253
     244       1       9    1990       56.0000000       90.1001567
     245       2       9    1990       33.0000000       61.0154317
     246       3       9    1990       27.0000000       46.0713621
     247       4       9    1990       27.0000000       40.6934620
     248       5       9    1990       28.0000000       39.5330043
     249       6       9    1990       26.0000000       40.5810268
     250       7       9    1990       24.0000000       41.5765460
     251       8       9    1990       33.0000000       40.5444076
     252       9       9    1990       26.0000000       37.8993187
     253      10       9    1990       27.0000000       35.7809742
     254      11       9    1990       22.0000000       34.1107586
     255      12       9    1990       22.0000000       32.9195411
     256      13       9    1990       21.0000000       31.9387399
     257      14       9    1990       22.0000000       31.0504026
     258      15       9    1990       22.0000000       30.2245763
     259      16       9    1990       22.0000000       29.4519497
     260      17       9    1990       20.0000000       28.7269127
     261      18       9    1990       22.0000000       28.0448157
     262      19       9    1990       16.0000000       27.4015700
     263      20       9    1990       22.0000000       26.7935493
     264      21       9    1990       19.0000000       29.0843408
     265      22       9    1990       32.0000000       48.3044528
     266      23       9    1990       27.0000000       70.5269327
     267      24       9    1990       45.0000000       75.6239206
     268      25       9    1990       42.0000000       65.7909790
     269      26       9    1990       39.0000000       50.1862382
     270      27       9    1990       30.0000000       42.5629456
     271      28       9    1990       28.0000000       39.4963521
     272      29       9    1990       30.0000000       37.7368074
     273      30       9    1990       30.0000000       44.6063892
     274       1      10    1990       56.0000000       72.8658123
     275       2      10    1990       72.0000000      101.8676045
     276       3      10    1990       73.0000000      106.0738581
     277       4      10    1990       68.0000000       99.8528590
     278       5      10    1990       53.0000000       87.3988873
     279       6      10    1990       42.0000000       79.4099966
     280       7      10    1990       33.0000000       73.6952769
     281       8      10    1990       42.0000000       68.7804283
     282       9      10    1990       34.0000000       64.7566931
     283      10      10    1990       36.0000000       61.3369369
     284      11      10    1990       36.0000000       58.3019238
     285      12      10    1990       28.0000000       55.5608714
     286      13      10    1990       32.0000000       53.0729639
     287      14      10    1990       27.0000000       50.8085494
