      No     Day     Mon    Year  Qobs_0000000398  Qsim_0000000398
       1       1       1    1990      157.0000000      133.9333078
       2       2       1    1990      129.0000000      125.1828279
       3       3       1    1990      117.0000000      117.4345123
       4       4       1    1990      111.0000000      110.5512412
       5       5       1    1990      112.0000000      104.4178325
       6       6       1    1990       93.0000000       99.0214737
       7       7       1    1990       87.0000000       94.1634757
       8       8       1    1990       84.0000000       89.7359244
       9       9       1    1990       80.0000000       85.7443667
      10      10       1    1990       78.0000000       82.1357792
      11      11       1    1990       78.0000000       78.8655002
      12      12       1    1990       77.0000000       75.8925735
      13      13       1    1990       76.0000000       75.0317210
      14      14       1    1990       73.0000000       77.0260542
      15      15       1    1990       66.0000000       86.2387643
      16      16       1    1990       76.0000000       85.5161507
      17      17       1    1990       73.0000000       86.3417731
      18      18       1    1990       71.0000000       87.6862782
      19      19       1    1990       90.0000000       83.3660647
      20      20       1    1990       82.0000000       86.4071666
      21      21       1    1990       80.0000000       83.5571610
      22      22       1    1990       81.0000000       78.8121212
      23      23       1    1990       97.0000000      176.0501481
      24      24       1    1990      198.0000000      214.3070241
      25      25       1    1990      392.0000000      278.9009341
      26      26       1    1990      519.0000000      304.6105520
      27      27       1    1990      565.0000000      258.8972445
      28      28       1    1990      331.0000000      237.7526768
      29      29       1    1990      293.0000000      236.9073299
      30      30       1    1990      302.0000000      201.1456819
      31      31       1    1990      233.0000000      176.0323560
      32       1       2    1990      198.0000000      184.6744659
      33       2       2    1990      183.0000000      202.8716407
      34       3       2    1990      206.0000000      207.9533575
      35       4       2    1990      215.0000000      179.2980003
      36       5       2    1990      183.0000000      159.7333718
      37       6       2    1990      159.0000000      145.4497724
      38       7       2    1990      167.0000000      135.6974958
      39       8       2    1990      138.0000000      130.0857897
      40       9       2    1990      126.0000000      127.7542126
      41      10       2    1990      131.0000000      203.0149113
      42      11       2    1990      173.0000000      261.1210947
      43      12       2    1990      240.0000000      297.2822635
      44      13       2    1990      270.0000000      463.0040923
      45      14       2    1990      458.0000000      844.1701546
      46      15       2    1990      996.0000000     1107.2401917
      47      16       2    1990     1370.0000000      970.5281311
      48      17       2    1990     1540.0000000      796.5406011
      49      18       2    1990     1210.0000000      654.7879959
      50      19       2    1990      616.0000000      537.6171922
      51      20       2    1990      465.0000000      443.2663156
