      No     Day     Mon    Year  Qobs_0000000398  Qsim_0000000398  Qobs_0000000333  Qsim_0000000333
       1       1       1    1990      157.0000000     1266.9614717     1210.0000000     1210.0000000
       2       2       1    1990      129.0000000     1171.8667245     1120.0000000     1120.0000000
       3       3       1    1990      117.0000000     1110.2597612     1070.0000000     1070.0000000
       4       4       1    1990      111.0000000     1065.8040986     1030.0000000     1030.0000000
       5       5       1    1990      112.0000000     1031.6029180     1000.0000000     1000.0000000
       6       6       1    1990       93.0000000     1011.4790256      985.0000000      985.0000000
       7       7       1    1990       87.0000000      976.4585682      946.0000000      946.0000000
       8       8       1    1990       84.0000000      947.6910124      922.0000000      922.0000000
       9       9       1    1990       80.0000000      920.9528826      896.0000000      896.0000000
      10      10       1    1990       78.0000000      910.8560515      892.0000000      892.0000000
      11      11       1    1990       78.0000000      903.5829314      885.0000000      885.0000000
      12      12       1    1990       77.0000000      903.4357333      888.0000000      888.0000000
      13      13       1    1990       76.0000000      899.8603455      882.0000000      882.0000000
      14      14       1    1990       73.0000000      869.9474243      840.0000000      840.0000000
      15      15       1    1990       66.0000000      863.3002456      837.0000000      837.0000000
      16      16       1    1990       76.0000000      850.1487724      824.0000000      824.0000000
      17      17       1    1990       73.0000000      842.0489739      818.0000000      818.0000000
      18      18       1    1990       71.0000000      847.2292321      829.0000000      829.0000000
      19      19       1    1990       90.0000000      868.0553149      851.0000000      851.0000000
      20      20       1    1990       82.0000000      859.8246198      830.0000000      830.0000000
      21      21       1    1990       80.0000000      854.6634558      833.0000000      833.0000000
      22      22       1    1990       81.0000000      848.1902038      826.0000000      826.0000000
      23      23       1    1990       97.0000000      890.4235869      797.0000000      797.0000000
      24      24       1    1990      198.0000000      902.5040947      807.0000000      807.0000000
      25      25       1    1990      392.0000000     1056.6508916      949.0000000      949.0000000
      26      26       1    1990      519.0000000     1254.6010428     1170.0000000     1170.0000000
      27      27       1    1990      565.0000000     1407.3252000     1330.0000000     1330.0000000
      28      28       1    1990      331.0000000     1542.6755953     1480.0000000     1480.0000000
      29      29       1    1990      293.0000000     1536.8120055     1450.0000000     1450.0000000
      30      30       1    1990      302.0000000     1385.2264706     1280.0000000     1280.0000000
      31      31       1    1990      233.0000000     1266.5282987     1190.0000000     1190.0000000
      32       1       2    1990      198.0000000     1197.7881845     1120.0000000     1120.0000000
      33       2       2    1990      183.0000000     1133.1965072     1060.0000000     1060.0000000
      34       3       2    1990      206.0000000     1091.4030444     1030.0000000     1030.0000000
      35       4       2    1990      215.0000000     1062.3863388     1010.0000000     1010.0000000
      36       5       2    1990      183.0000000     1060.3708493     1020.0000000     1020.0000000
      37       6       2    1990      159.0000000     1029.6216868      982.0000000      982.0000000
      38       7       2    1990      167.0000000     1003.1601973      963.0000000      963.0000000
      39       8       2    1990      138.0000000      968.3517871      927.0000000      927.0000000
      40       9       2    1990      126.0000000      949.4554878      916.0000000      916.0000000
      41      10       2    1990      131.0000000      965.2751403      888.0000000      888.0000000
      42      11       2    1990      173.0000000      989.5226965      910.0000000      910.0000000
      43      12       2    1990      240.0000000     1063.5773133      985.0000000      985.0000000
      44      13       2    1990      270.0000000     1181.2204348     1080.0000000     1080.0000000
      45      14       2    1990      458.0000000     1415.8869689     1230.0000000     1230.0000000
      46      15       2    1990      996.0000000     1872.5672159     1750.0000000     1750.0000000
      47      16       2    1990     1370.0000000     3388.1043816     3620.0000000     3620.0000000
      48      17       2    1990     1540.0000000     4710.3177424     4830.0000000     4830.0000000
      49      18       2    1990     1210.0000000     5188.8135115     5130.0000000     5130.0000000
      50      19       2    1990      616.0000000     4979.0930685     4800.0000000     4800.0000000
      51      20       2    1990      465.0000000     4406.5203554     4180.0000000     4180.0000000
      52      21       2    1990      373.0000000     3725.1804197     3500.0000000     3500.0000000
      53      22       2    1990      298.0000000     3142.0020659     2960.0000000     2960.0000000
      54      23       2    1990      270.0000000     2725.9967181     2590.0000000     2590.0000000
      55      24       2    1990      234.0000000     2443.6003019     2340.0000000     2340.0000000
      56      25       2    1990      218.0000000     2271.1936711     2190.0000000     2190.0000000
      57      26       2    1990      203.0000000     2170.6213023     2020.0000000     2020.0000000
      58      27       2    1990      314.0000000     2234.2350114     2100.0000000     2100.0000000
      59      28       2    1990      520.0000000     2748.0856436     2700.0000000     2700.0000000
      60       1       3    1990      689.0000000     3307.1911427     3240.0000000     3240.0000000
      61       2       3    1990      777.0000000     3805.3551873     3760.0000000     3760.0000000
      62       3       3    1990      584.0000000     4024.4255709     3930.0000000     3930.0000000
      63       4       3    1990      429.0000000     3953.9934813     3820.0000000     3820.0000000
      64       5       3    1990      365.0000000     3662.4717612     3500.0000000     3500.0000000
      65       6       3    1990      281.0000000     3226.5868576     3050.0000000     3050.0000000
      66       7       3    1990      257.0000000     2841.8888656     2700.0000000     2700.0000000
      67       8       3    1990      231.0000000     2553.6275658     2440.0000000     2440.0000000
      68       9       3    1990      211.0000000     2342.5503652     2250.0000000     2250.0000000
      69      10       3    1990      191.0000000     2171.8132330     2090.0000000     2090.0000000
      70      11       3    1990      182.0000000     2047.0922672     1980.0000000     1980.0000000
      71      12       3    1990      173.0000000     1918.7705359     1850.0000000     1850.0000000
      72      13       3    1990      159.0000000     1801.6516197     1740.0000000     1740.0000000
      73      14       3    1990      153.0000000     1720.2579816     1670.0000000     1670.0000000
      74      15       3    1990      141.0000000     1640.5462869     1590.0000000     1590.0000000
      75      16       3    1990      136.0000000     1589.6288256     1550.0000000     1550.0000000
      76      17       3    1990      130.0000000     1571.1883470     1540.0000000     1540.0000000
      77      18       3    1990      123.0000000     1528.9119174     1490.0000000     1490.0000000
      78      19       3    1990      115.0000000     1462.2102611     1420.0000000     1420.0000000
      79      20       3    1990      113.0000000     1414.3625489     1380.0000000     1380.0000000
      80      21       3    1990      102.0000000     1412.1039246     1390.0000000     1390.0000000
      81      22       3    1990      105.0000000     1375.1419016     1340.0000000     1340.0000000
      82      23       3    1990      106.0000000     1332.2874952     1300.0000000     1300.0000000
      83      24       3    1990       87.0000000     1329.9911087     1310.0000000     1310.0000000
      84      25       3    1990       80.0000000     1339.2134968     1320.0000000     1320.0000000
      85      26       3    1990       84.0000000     1356.3010373     1340.0000000     1340.0000000
      86      27       3    1990       82.0000000     1337.1459589     1310.0000000     1310.0000000
      87      28       3    1990       91.0000000     1330.4127570     1310.0000000     1310.0000000
      88      29       3    1990       97.0000000     1345.8855189     1330.0000000     1330.0000000
      89      30       3    1990      110.0000000     1411.1865218     1410.0000000     1410.0000000
      90      31       3    1990       97.0000000     1444.3320981     1430.0000000     1430.0000000
      91       1       4    1990       93.0000000     1402.0928808     1370.0000000     1370.0000000
      92       2       4    1990       85.0000000     1372.4708808     1350.0000000     1350.0000000
      93       3       4    1990       84.0000000     1377.0830333     1360.0000000     1360.0000000
      94       4       4    1990       81.0000000     1379.6661780     1360.0000000     1360.0000000
      95       5       4    1990       81.0000000     1362.7765398     1340.0000000     1340.0000000
      96       6       4    1990       76.0000000     1334.5605381     1310.0000000     1310.0000000
      97       7       4    1990       72.0000000     1280.9531674     1250.0000000     1250.0000000
